Item ID,Item Name,SKU,HSN/SAC,Description,Rate,Account,Account Code,Taxable,Exemption Reason,Taxability Type,Product Type,Intra State Tax Name,Intra State Tax Rate,Intra State Tax Type,Inter State Tax Name,Inter State Tax Rate,Inter State Tax Type,Source,Reference ID,Last Sync Time,Status,Usage unit,Unit Name,Purchase Rate,Purchase Account,Purchase Account Code,Purchase Description,Inventory Account,Inventory Account Code,Inventory Valuation Method,Reorder Point,Vendor,Opening Stock,Opening Stock Value,Stock On Hand,Item Type,Sellable,Purchasable,Track Inventory
2106585000000076543,SQUARE MASALA BOX,,3924,,INR 58.20,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,2,,,Active,pcs,Pieces,INR 40.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000099005,4 LAYER SHOES RANK,,3924,,INR 206.70,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 142.00,Cost of Goods Sold,,,Inventory Asset,,,,RELON OIL AND GAS LIMITED,,,,Sales and Purchases,true,true,false
2106585000000099014,5 LAYER SHOES RANK,,3924,,INR 244.44,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 168.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000099023,PIPE MASHER,,3924,,INR 31.94,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 22.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000099032,WOODEN MASHER,,3924,,INR 33.40,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 23.00,Cost of Goods Sold,,,Inventory Asset,,,,RELON OIL AND GAS LIMITED,,,,Sales and Purchases,true,true,false
2106585000000099041,DEER HEAD,,3924,,INR 30.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 20.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000099050,3 PCS STORAGE CONTAINER,,3924,,INR 130.50,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 90.00,Cost of Goods Sold,,,Inventory Asset,,,,RELON OIL AND GAS LIMITED,,,,Sales and Purchases,true,true,false
2106585000000099059,6 LAYER SHOES RANK,,3924,,INR 275.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 190.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000099100,COCONUT OPENER BIG,,3924,,INR 32.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 22.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000099109,OWL SHAPE PLATE (6 PIC SET),,3924,,INR 91.60,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 63.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000099160,650ML PUSH CHOPPER,,3924,,INR 80.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 55.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000099169,PREMIUM MASALA BOX,,3924,,INR 104.50,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 72.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000099190,DRY FRUIT CUTTER,,3924,,INR 47.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 32.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000099203,LUNCH BOX CLASSIc,,3924,,INR 68.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 46.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000104001,2 IN 1 VEG CUTTER,,3924,,INR 36.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,12,,,Active,pcs,Pieces,INR 24.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000105001,BLACK PRINT WATER BOTTLE,,3924,,INR 42.09,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,14,,,Active,pcs,Pieces,INR 29.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000105010,TEDDY HOUSE,,3924,,INR 69.90,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,14,,,Active,pcs,Pieces,INR 48.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000105019,18INCH FOLDING STOOL,,3924,,INR 260.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,14,,,Active,pcs,Pieces,INR 180.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000105028,HEAVY LIGHTER WITH KNIFE,,3924,,INR 34.80,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,14,,,Active,pcs,Pieces,INR 24.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000106001,ROUND ALL IN ONE,,3924,,INR 56.60,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,14,,,Active,pcs,Pieces,INR 39.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000106010,3PCS DINING SET,,3924,,INR 65.30,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,14,,,Active,pcs,Pieces,INR 45.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000107005,SUMO 2 LAYER STEEL LUNCH,,3924,,INR 202.30,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 139.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000107014,OIL DISPENSER 1000ML,,3924,,INR 53.40,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 32.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000107023,BIG SPATULA & BRUSH,,3924,,INR 33.40,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 23.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000107032,OIL SPATULA,,3924,,INR 13.10,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 9.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000107067,SQUARE BOTTLE,,3924,,INR 42.09,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 29.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000107076,MATKA STAND,,3924,,INR 26.12,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 18.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000107101,KEY HOUSE,,3924,,INR 92.88,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 64.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000107110,JUMBO KEY STAND,,3924,,INR 91.30,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 63.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000107119,SMALL SPATULA,,3924,,INR 10.20,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 7.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000107128,QUICK CHOPPER 1000ML,,3924,,INR 90.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 62.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000107137,EXPRESS LIGHTER,,3924,,INR 37.83,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 21.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000107146,FOLDING STOOL 12INCH,,3924,,INR 195.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 135.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000107155,REAL PUSH CHOOPER 600ML,,3924,,INR 96.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 66.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000109167,3 PCS SQUARE STORAGE CONTAINER,,3924,,INR 116.20,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 80.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000109176,APPLE CUTTER,,3924,,INR 21.77,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 15.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000109185,NICER DICER 12 IN 1,,3924,,INR 305.00,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 210.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000109194,CELEBRATION TRAY,,3924,,INR 246.50,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 170.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000109203,COOL AND COOL BOTTLE,,3924,,INR 108.70,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 75.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
2106585000000109212,LUNCH BOX TOKYO,,3924,,INR 111.30,Sales,,true,,,goods,GST18,18.000000,Group,IGST18,18.000000,Simple,1,,,Active,pcs,Pieces,INR 77.00,Cost of Goods Sold,,,Inventory Asset,,,,,,,,Sales and Purchases,true,true,false
