item_code,item_name,item_group,brand,stock_uom,hsn_code,valuation_rate,standard_rate,description
JAVA-TIBROSTBPR,TIBROS-TB- Procelain Mug Java,Crockery,TIBROS,BOX,6911,0,0,TIBROS-TB- Procelain Mug Java
TIFFIN-TIFFINBOXM,Tiffin Box Model HE : 8,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Tiffin Box Model HE : 8
11-TIFFINBOXM,Tiffin Box Model HE :11,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Tiffin Box Model HE :11
LOCK-TONGKITCHE,Tong Kitchen Lock,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Tong Kitchen Lock
135G-TONGSSNO3,Tong S.S. No.3 (135g),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Tong S.S. No.3 (135g)
GLASS-UNBREAKABL,UNBREAKABLE GLASS,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,UNBREAKABLE GLASS
PLAIN-VOLVOKNIFE,VOLVO KNIFE BOX PACK (PLAIN),Plastic kitchenware,Raj Enterprises,DZ,3924,0,0,VOLVO KNIFE BOX PACK (PLAIN)
STAND-WALLMOUNTA,WALL MOUNTAIN STAND,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,WALL MOUNTAIN STAND
STAND-WASHINGMAC,WASHING MACHINE STAND,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,WASHING MACHINE STAND
BLACK-WELCOMETRA,WELCOME TRAY SET BLACK,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,WELCOME TRAY SET BLACK
WHITE-WELCOMETRA,WELCOME TRAY SET WHITE,Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,WELCOME TRAY SET WHITE
INCH-WHISKFULLS,Whisk Full S.S. No.2 ( 10 inch),Plastic kitchenware,Raj Enterprises,PCS,3924,0,0,Whisk Full S.S. No.2 ( 10 inch)
