Item Code,Item Name,Standard Rate,Image Name
M00753,"CUTTER COOKIE [4 Shape – 12pcs Set]",108.43,M00753.jpg
M02024,"Garlic Cuter S.S.",99.00,M02024.jpg
M00427,"Pizza Cutter Wooden",199.00,M00427.jpg
M01657,"DRY FRUIT CUTTER Transparant (D.P)",160.00,M01657.jpg
M01584,"Apple Cutter S.S. Round",149.00,M01584.jpg
M00630,"ROLLER CUTTER & SAKARPARA CUTTER",199.00,M00630.jpg
M00614,"SERVING TRAY",249.00,M00614.jpg
M01868,"Dinner Set Trio (set Of 18) (DK-105)",999.00,M01868.jpg
M01870,"Dinner Set Trio (set Of 32) (DK-107)",1499.00,M01870.jpg
M01872,"Dinner Set Trio (set Of 36B) (DK-109)",1499.00,M01872.jpg
M01869,"Dinner Set Trio (set Of 21) (DK-106)",999.00,M01869.jpg
M01874,"Dinner Set Modern (set Of 36) (DK-111)",1499.00,M01874.jpg
M01873,"Dinner Set Moden (set Of 32) (DK-110)",1499.00,M01873.jpg
M01871,"Dinner Set Trio (set Of 36A) (DK-108)",1499.00,M01871.jpg
M01711,"Garbage Bags 17*19 (30PCS/BOX)",105.00,M01711.jpg
M01713,"Garbage Bags 24*32 (15PCS/BOX)",105.00,M01713.jpg
M01712,"Garbage Bags 19*21 (30PCS/BOX)",105.00,M01712.jpg
M01714,"Garbage Bags 30*37(15PCS/BOX)",149.00,M01714.jpg
M70003,"Dust Bin.",499.00,M70003.jpg
M01715,"Garbage Bags 36*48 (10PCS/BOX)",299.00,M01715.jpg
M00749,"DUSTBIN",485.10,M00749.jpg
M00802,"Dust Pan S.S. No.1",168.43,M00802.jpg
M01322,"Dust Pan Transparent",199.00,M01322.jpg
M01348,"Dustpan Plastic Jumbo Size(12 pcs)",299.00,M01348.jpg
M00803,"Dust Pan S.S. No.2",174.94,M00803.jpg
M01752,"Lighter SILVER 12mm Surya (12pcs Box Pack)",99.99,M01752.jpg
M02084,"Lighter Black 12mm (Butterfly Box)",199.00,M02084.jpg
